"Reviews							||"	Sentiment (0=Worst, 5=Neutral 10=Best)
Darius Goes West is a film depicting American belief that everything i	10.0
"""The Grudge"" is a remake of Shimizu's own series of popular Japanese h"	9.5
After seeing this film at the SF Independent Film Festival, I couldn't	10.0
Disney, the film name that once stood for all things innocent and suit	2.1
Dear Readers,<br /><br />With High Expectations, Human Beings leave Ea	10.0
This is one of the greatest movies ever maybe even the greatest movie 	10.0
I suppose I always felt that Hotel du Nord was studio-bound, the movem	10.0
If your a hard core Freddy fan then you might not like it. This seems 	1.2
clara bow's beauty and wonderful appeal are the chief reason to watch 	9.7
OK where do i begin?... This movie changed my life! The plot was seaml	10.0
This is one of the funniest movies that I have seen this year. The peo	4.2
Ghost Story (the TV Movie--1972) was the pilot for the NBC series. The	5.0
To finally see what many consider to be the greatest women-in-prison f	5.0
As a low budget enterprise in which the filmmakers themselves are manu	3.3
"I like films that don't provide the typical ""happy ending,"" and that's"	10.0
I think Lion King 1 1/2 is one of the best sequels ever as if not the 	10.0
I do find it a bit overrated. Maybe it's just because I've never seen 	10.0
A great addition to anyone's collection.<br /><br />12 monkeys is a mo	10.0
Now here's a film straight out of my childhood, my family used to tape	10.0
Well you take O.J. Simpson as a all american soldier turned all americ	1.0
This film caught me by surprise. My friend told me that this movie was	10.0
Powers Booth is hypnotic as cult leader jim jones who led his Peoples 	10.0
OK. I admit. I'm one of those nerds who have spent all to many hours w	1.0
"Much like the comedy duo of its title, ""The Sunshine Boys"" has become "	1.0
I found this a very entertaining small kids movie that actually is gea	7.2
Richard Willaims is an animation god. He was hampered in directing thi	7.2
Simply one of the best ever! Richard Brooks' adaptation of Truman Capo	10.0
I was adopted at birth and certainly did NOT have the problems Antwone	10.0
Pearl S.Buck was a brilliant author that was a first American lady won	10.0
"""Kolchak: the Night Stalker"" is a hugely entertaining TV series in whi"	2.3
Fabulous, fantastic, probably Disney's best musical adventure. I have 	10.0
Warning: Does contain spoilers.<br /><br />Open Your Eyes<br /><br />I	10.0
What we have here is a damn good little nineties thriller that, while 	1.1
Composed, elegant Carol (marvelously played by the beautiful Rebecca B	10.0
And that's why historic/biographic movies are so important to all of u	10.0
I bought the video rather late in my collecting and probably would hav	4.6
Not sure if this counts as a spoiler or not, so beware:<br /><br />Jus	2.7
The magnetism radiated from Elvira, drawing her legions of devoted adm	10.0
When I heard this film was directed by Ang Lee, I made sure to see it.	10.0
Steve Carell comes into his own in his first starring role in the 40 Y	10.0
This anime was underrated and still is. Hardly the dorky kids movie as	10.0
Okay, there are a ton of reviews here, what can I possibly add?<br /><	4.0
Great acting on the part of Gretchen Mol. This film is one of the best	10.0
Criticism of the film EVENING, based on the novel by Susan Minot and a	10.0
What a delightful romp  a very competently made film that has so much	9.8
This is the movie I've seen more times than any other (I believe I saw	10.0
I bought this cheap from the rental remnant at our local store. It was	3.3
"I've been watching ""Dick Tracy"" for years, and as a result it's become"	10.0
It's not well shot, well written or well acted but it has to be the mo	10.0
I thought this movie was stunning, with completely outstanding perform	10.0
Have to be honest and say that I haven't seen many independent films, 	10.0
for those of you who love lord of the rings and love special effects, 	9.8
Thank God this wasn't based on a true story, because what a story it i	3.8
I grew up watching Scooby and have been a fan forever. This cartoon mo	4.8
When The Matrix appeared in 1999 and questioned existence and identity	1.0
"This three stooges flick is at a tie with my other favorite flick ""Dis"	10.0
This is one of the best films I have seen in years! I am not a Gwyneth	10.0
Ah, the 1970's. A time when it was in to be a swinger. To be honest, t	1.8
(Question) What do you call 100 film critics buried up to their necks 	7.2
Opening the film with a Bach Toccata is an aural hint of what is to un	1.3
This tender beautifully crafted production delved deep down bitter swe	10.0
Director Vincenzo Natali's Cypher is a complex and imaginative thrille	10.0
There seems to be only two types of reviews of this film on the net. T	10.0
This movie is goofy as hell! I think it was written as a serious film,	6.0
The Shining is a weird example of adaptation: it has very little in co	1.0
Any one who has seen Mel Gibson's The Passion of the Christ and was bo	5.0
A prequel to the re-imagined Battlestar Galactica series, from the sam	10.0
Featuring a fascinating performance by Will Smith and a story that tug	4.4
A stupid young man becomes obsessed with a woman--so obsessed that he 	1.0
Frustrating to watch because of one man's stubbornness to leave his na	6.7
The setting and actors make this television movie for me the best rend	10.0
I found myself at sixes and sevens while watching this one. Altman's t	8.5
First one has to take into account the time period this film was made 	2.9
"When I first saw this movie, I thought it was the typical ""love thy ne"	10.0
Sadly not available on DVD as yet, but worth pursuing on TCM or VHS. A	10.0
I admit that I am a vampire addict: I have seen so many vampire movies	8.4
Super Speedway makes a great demo of your new DVD / bigscreen / 5.1 ch	10.0
Unlike many other films, which are disturbing either by dint of their 	10.0
** possible spoilers **<br /><br />I like this film and have no proble	2.3
Being someone who lists Night of the Living Dead at number three in he	1.4
In the Hollywood west those trail hands were a rough bunch who when th	1.0
Maria Braun is an extraordinary woman presented fully and very credibl	4.6
In this send-up of horror films, 50's cold war paranoia, Reagan-era Am	1.7
I first saw Rob Roy twelve years ago. With little money for entertainm	3.3
(SPOILERS included) This film surely is the best Amicus production I'v	10.0
Excellent movie, albeit slightly predictable. I have to comment on Nic	3.8
Paris, JE T'AIME is a wondrous cinematic homage to the city of light a	10.0
Nothing is fantastic! Simple as that! It's a film that shouldn't work,	10.0
Bela made 9 pics for Monogram, but it was only at THIS one, the 4TH, t	1.0
I would have given this otherwise terrific series a full 10 vote if Cl	10.0
Grand Canyon is a very strange bird. It's a completely unique urban pi	10.0
"Since I watched it for the first time, ""Piedras"" is a personal favorit"	10.0
One of the best comedians ever. I've seen this show about 10 times and	10.0
"You could stage a version of Charles Dickens' ""A Christmas Carol"" with"	10.0
Sisters In Law is made by the same directors of the rather curiously f	10.0
I was speechless and devastated after my first viewing of this - many 	1.3
One of the most timely and engrossing documentaries, you'll ever watch	2.5
This film is scary because you can find yourself relating to ideas the	10.0
this is one amazing movie!!!!! you have to realize that chinese folklo	10.0
Esther Williams gets her first post MGM starring role and gets off<br 	8.3
"""Who Done It?"" contains many surefire laughs and gags. It is not only "	1.9
Here's another film that doesn't really need much of a recommendation.	2.9
The first time I came upon Delirious, I only heard it. I listened to t	10.0
Loretta Castorini (Cher)is a woman in her late thirties, a widow, who 	10.0
Zombi 3 has an interesting history in it's making. Firstly, it is a se	1.0
this is a visual adaptation of manga with very little dialogue. what d	1.8
Reese Witherspoon plays Dani, a young country girl that falls madly in	10.0
If you are a fan of Zorro, Indiana Jones, or action in general this is	10.0
If you enjoy Cleese & all the British 'Pythonesque' humour of the time	10.0
In April of 1965, CBS broadcast the first of Barbra Streisand's monume	10.0
This is one of my favorites along with the Mariette Hartley and Robert	1.0
I loved this movie! It was all I could do not to break down into tears	10.0
I like this movie a lot, but it's a fact, that you cannot understand i	7.6
Dr. McCoy and Mr. Spock find themselves trapped in a planet's past Ice	7.2
Eddie Murphy Delirious is undoubtedly the funniest thing I have ever s	9.6
Anyone interested in pop music, and not familiar with British music tr	10.0
The Straight Story is a multilevel exploration of the goodness and bea	2.8
I never thought an old cartoon would bring tears to my eyes! When I fi	2.6
How to lose friends and alienate people is decent comedy with a bit of	1.8
Holly addresses the issue of child sexploitation that is rampant all o	10.0
Even though I'm quite young, The Beatles are my ABSOLUTELY FAVOURITE b	10.0
To bad for this fine film that it had to be released the same year as 	3.5
Although critically maligned, Johnny Dangerously is one of the funnies	4.1
This film is great. As often heard, it is indeed very realistic and so	1.0
First love is a desperately difficult subject to pull off convincingly	10.0
I loved watching ''Sea Hunt '' back in the day , I was in grammar scho	2.9
Greetings again from the darkness. Insight into the mind and motivatio	10.0
Call me adolescent but I really do think that this is a great series. 	10.0
"What a perfect example of ""Less Is More..."" Kurt Russell (Sgt. Todd) o"	9.8
<br /><br />Ok the film wasn't going to win any awards and it is pure 	9.9
"This movie is best described or compare to ""Big Fish"" (the movie by Ti"	1.0
Still being of school age, and having to learn Shakespeare almost cons	10.0
This film was just absolutly brilliant. It actually made me think. Dur	3.8
This movie is not about entertainment, or not even a movie you want to	10.0
I wouldn't be surprised if Soderbergh was pressured to avoid making pr	2.4
The beautiful story of Stardust is written by by Neil Gaiman (writer o	3.6
I viewed the movie together with a homophobic friend, my wife and her 	1.1
It does come out of left field, and REALLY isn't what you're expecting	10.0
As always, controversial movies like this have mixed reviews. You eith	2.3
"Though I like E.E. ""Doc"" Smith's books and David A. Kyles books of Len"	1.3
When seeing this movie you should take notice to that it´s not a norma	10.0
what is wrong with you people, if you weren't blown away by the action	2.8
Overall I would have to say that I liked the movie. Some of the fight 	1.0
What can one say about Elvira that hasn't already been said in the wor	4.1
This film has renewed my interest in French cinema. The story is encha	1.6
At a time in our culture where reality exposed as narrative is overpow	4.8
. . . or type on a computer keyboard, they'd probably give this eponym	5.7
I wasn't sure what to expect but am I glad I went to see this. A smart	10.0
A have a female friend who is currently being drawn into a relationshi	4.4
You sit there for a half an hour and watch a story, believing it all, 	3.1
This movie leaves the intellectual mind thinking and trying to analyze	3.1
A longtime fan of Bette Midler, I must say her recorded live concerts 	10.0
This is apparently one of Shemp's first shorts with the Stooges. (This	10.0
A great idea: 11 stories about 11 September. 11 directors from differe	10.0
I absolutely LOVE this movie and would really like to have it someday.	8.5
How can you resist watching a film with some swing? It's a delightful 	2.3
An American In Paris is an integrated musical, meaning that the songs 	10.0
I was really stunned how much a film, that's over 60 years old could i	10.0
"Typical 90's comedy, situational comedy similar to our modern day ""My "	10.0
Philo Vance had many affinities with Bulldog Drummond He was a gentlem	10.0
Steve Carell once again stars in a light romantic movie about choices,	10.0
Although DiG! was being hailed as being closest to what the music indu	9.4
Most horror movies are in fact horrible movies. They get to be same ol	1.0
Election marks the 2nd trial society theme movie directed by Johnnie T	6.4
'Capital City' fans rejoice! This first season of this series is now a	5.0
very few chess movies have been made over the last couple of years ,bu	10.0
do you still love woody allen's humor and sense of the absurd? do you 	5.0
What's with all the negative comments? After having seen this film for	3.9
Master director Ching Siu Tung's perhaps most popular achievement is t	6.1
79/100. Fred Astaire and Ginger Rogers never made anything but great f	10.0
This is by far one of my favorite of the American Pie Spin offs mainly	10.0
This movie was one of the funniest movie I've seen in years and the la	10.0
I saw this film in Winnipeg recently - appropriate, given the location	10.0
This is a wonderful movie in a lot of ways. Everyone in my family enjo	10.0
This is simply one of the finest renditions of Dicken's classic tale. 	10.0
Neither the total disaster the UK critics claimed nor the misunderstoo	4.4
I always enjoy this movie when it shows up on TV.<br /><br />The one s	10.0
Best show since Seinfeld. She's really really funny. Her total self ce	4.9
"Very good point there : ""only an elite few (the upper classes) would b"	3.3
I have lost count of how many reviews I've written on Slaughter High. 	1.0
"After ""A Dirty Shame"", I never thought that I was going to see another"	6.3
The number of times I've had tears in my eyes when watching a movie ar	10.0
To begin with, I loved göta kanal 1, it had a lot of classic jokes inc	1.7
I've seen Mystery Men cop a bit of stick in the press and with the gen	10.0
"Mary Pickford (""Born on the Fourth of July"" as Angela Moore) is ""The L"	10.0
This is, without a shadow of a doubt, one of the scariest and most int	1.0
This movie is gorgeous. It's real and down to heart, but at the same t	10.0
A single mother(Diane Keaton) finds herself working several minimum-wa	10.0
Carl Brashear (Cuba Gooding, Jr.) was born to sharecroppers in the dee	9.4
*** Spoilers*<br /><br />My dad had taped this movie for me when I was	7.2
I cried my heart out, watching this movie. I have never suffered from 	10.0
This for me was a wonderful introduction to the talents and beauty of 	10.0
Unlike another user who said this movie sucked (and that Olivia Hussey	10.0
This is the only full length feature film about the world of bridge. I	2.4
I'm a huge fan of the Dukes of Hazzard TV show. And I really enjoyed t	10.0
Didn't know anything about the movie before watching and I think it wa	2.2
A warm, sweet and remarkably charming film about two antagonistic work	1.9
I really liked this movie. Of course the idea is pretty much out there	7.2
I remember watching this movie with my friends when we were 4 years ol	4.2
This episode of Twilight Zone combines a silent section (1890) with me	1.6
Police Story is arguably one of the best works by the master of action	10.0
"An enjoyable Batman animated film. Not on par with ""Return of the Joke"	5.0
This is what makes me proud to be British. This is by far the funniest	10.0
'Before the devil knows you're dead' is one of the best movies I've se	9.3
What we've got here is a Situation. A man is found to be in distress a	1.0
Vonnegut's words are best experienced on paper. The tales he weaves ar	7.7
I recommend families if possible,to show this to older children only.S	1.0
The concept of having Laurel & Hardy this time in the role of chimney 	10.0
Since was only a toddler when this show originally aired I just recent	10.0
This is one of my all time favorites. It is so simple and sweet - defi	10.0
For those of you who think anime is just about giant reptiles raping s	5.0
This is easily a 9. Michel Serrault, known more for comic roles in the	10.0
ANTWONE FISHER is the story of a young emotionally troubled U.S. Navy 	10.0
Halloween is not only the godfather of all slasher movies but the grea	9.7
when i saw the movie at first i thought that it was boring because not	4.1
This docu-drama is what you would expect from Richard Attenborough, th	10.0
If you are a traveller, if there is a fire burning into your heart, if	5.0
'The Rookie' was a wonderful movie about the second chances life holds	10.0
Well, Tenko is without doubt the best British television show ever, th	10.0
"""Father is still away on business"" was headline of an review after ""Pr"	10.0
I'm so glad I happened to see this video at the store. I was looking f	10.0
Good luck finding this film to even watch - it's not yet released on t	5.0
"""Telefilms"" tend to fall under the pitfalls of a low budget and a hast"	10.0
I simply never tire of watching FREEBIRD. My husband was an extra so I	6.0
When a rich tycoon is killed in a plane crash, his spinster twin siste	1.0
"I just saw ""Behind Bedroom Doors,"" and this was the first softcore fli"	1.0
It was hard for me to believe all of the negative comments regarding t	6.4
Over Her Dead Body was a nice little movie.It was decent and entertain	3.3
Spoilers I loved the later episodes from college and on, but I wish I 	2.0
"""Cinderella"" is a film about a young girl whose mother passed away and"	10.0
Have you seen The Graduate? It was hailed as the movie of its generati	10.0
this movie is just great. if you have a chance to see it, then you sho	1.0
This movie strikes me as one of the most successful attempts ever at c	8.4
Ok, so it's not a masterpiece like the Godfather, but it doesn't have 	4.8
Those who are not familiar with Cassandra Peterson's alter-ego Elvira,	9.3
An axellent second installment that manages to be just as good as the 	10.0
In her autobiography,Laureen Bacall reveals that Bogie told her that s	1.0
I only saw IPHIGENIA once, almost 30 years ago, but it has haunted me 	10.0
I'd love to give this movie a 10/10, but in its existing state I can o	10.0
Except for an awkward scene, this refreshing fairy tale fantasy has a 	10.0
This was a great romantic comedy! Historically inaccurate (Einstein ha	10.0
Clint Eastwood reprises his role as Dirty Harry who this time is on th	6.9
The Last of the Blond Bombshells is an entertaining bit of fluff. Judy	9.3
I saw this movie when Mystery Science Theater ran it in 1993. It is th	1.0
This was a highly original decent movie, and a brave move for all thos	8.6
I hated the first episode of this show ( 'Protesting Hippies' ) so muc	10.0
I just saw this movie the other day when I rented it, and I thought th	4.8
I would reccomend this film to everyone. Not only to the fans of the r	10.0
Since my third or fourth viewing some time ago, I've abstained from La	4.2
WAR, INC. (2008) **1/2 John Cusack, Marisa Tomei, Hilary Duff, Joan Cu	10.0
EUROPA (ZENTROPA) is a masterpiece that gives the viewer the excitemen	10.0
Some years ago, satellite channel U.K. Gold promoted repeats of 'Men B	10.0
I.Q., in my opinion, is a sweet, charming, and hilarious romantic come	10.0
"Out of the first five episodes of Hammer's short-running ""Hammer House"	10.0
Robert Altman is my favorite American director. I must admit that I ha	10.0
The 1986 TV movie of The Spirit was a pilot for a possible series. How	10.0
Lindy (Meryl Streep) and her husband Michael (Sam Neill) have just wel	10.0
Lexi befriends Jennifer, a thin, intelligent girl at her new school. L	7.2
"Samuel Fuller's Pickup on South Street is anomalous: A ""Red Scare"" mov"	10.0
Now i have read some negative reviews for this show on this website an	10.0
This movie is more Lupin then most, especially coming from Funimation.	1.0
"In the immortal ""Shaun of the Dead"", we are introduced to a London whe"	10.0
Val Kilmer and Dylan McDermott are terrific. I have seen Kilmer on The	1.0
I'm disappointed that Reiser (who wrote the film) felt the need to use	2.1
Home Room really surprised me. In comparison to other movies that were	1.3
Hollow Point, though clumsy in places, manages to be an extremely ende	10.0
Just watched the film for the 3rd time and enjoyed Lindsay Crouse and 	10.0
hi I'm from Taft California and i like this movie because it shows how	1.0
Stan & Ollie become SAPS AT SEA when their wayward little boat is comm	1.0
This shorter movie is the epitome the expected results when the imbeci	4.3
Has there ever been a movie more charming than this? One of the reason	9.5
I thought this was a wonderful way to spend time on a too hot summer w	10.0
Featuring a few of Hammer's all-stars, this highly effective slice of 	10.0
This movie can be interpreted on many different levels. Don't listen t	3.7
Your average garden variety psychotic nutcase (deliciously essayed wit	4.7
Having seen CUBE, I've been a fan of Vincenzo Natali's work. Natali se	1.0
"""Le Locataire""(""The Tenant"")is without a doubt one of the most importa"	10.0
Fully deserving its prestigious Hollywood award nomination, this is an	1.0
One of the most unheralded great works of animation. Though it makes t	10.0
Throughout this film, you might think this film is just for kids. Well	10.0
I liked this movie a lot. The animation was well done and the romance 	10.0
I saw this movie on the Hallmark Channel and thought it was wonderful,	1.0
This movie will go down down in history as one of the greats, right al	10.0
But the rest of us, who love a good sentimental and emotional story th	10.0
"""The Groove Tube"" was one of only two Ken Shapiro movies, the other on"	5.0
"I saw ""The Grudge"" yesterday, and wow... I was really scared, a good t"	5.8
This adaptation of Pearl S. Buck's film is certainly a classic. A true	10.0
Probably Bigas Luna's finest achievement for it achieves a delicate ba	10.0
Very good except for the ending which was a huge disappointment.<br />	1.3
Until I saw this special on HBO, I had never heard of Eddie Izzard. I 	2.7
Gillian Holroyd (Kim Novak) is a witch. Secretly, she's attracted to h	1.0
This is one of those movies that you keep thinking about when you wake	4.4
I saw this in the theater and I instantly thought that it is good enou	3.9
"""Night of the Living Homeless"" was a fairly strong finish to the first"	10.0
WOW. One of the greatest movies I have EVER - EVER seen.<br /><br />Ab	1.2
THE JIST: See something else.<br /><br />This film was highly rated by	2.8
A meteorite falls in the country of a small town, bringing a jelly cre	4.7
The production quality, cast, premise, authentic New England (Waterbur	2.5
The whole does not even come close to the sum of the parts. No problem	10.0
"One of the best ""Amitabh comeback"" movies I liked. This was the phase "	10.0
In my opinion, October Sky is one of the best movies of 1999...It tota	8.3
If I could go back, even as an adult and relive the days of my Summer'	1.4
Yes, I call this a perfect movie. Not one boring second, a fantastic c	10.0
I'm not sure that this comment contains an actual spoiler, but I'm pla	10.0
I really liked this film when it was released, and I still do, because	10.0
Roman Polanski is considered as one of the most important directors of	10.0
This is real character and story driven drama at a level that shames m	2.0
I agree that Capital City should be on DVD. I watched this show only b	6.3
Once again Jet Li brings his charismatic presence to the movie screen 	10.0
Okay. This Movie is a Pure Pleasure. It has the Ever so Violent Horror	1.8
I just read the plot summary and it is the worst one I have ever read.	10.0
In Rosenstrasse, Margarethe von Trotta blends two stories to create a 	10.0
Yes, the plot is predictable; yes, there are a few plot holes; yes, it	10.0
Steven Spielberg wanted to win an Oscar so bad that he figured that he	10.0
Gurinda Chada's semi-autobiographical film (2002) is a gentle, poignan	10.0
Its too bad a lot of people didn't understand this and the next episod	1.6
I think you would have to be from the USA to get a lot of the jokes. B	1.0
The performance by Om Puri, Smita Patil, and Sadashiv Amrapurkar and t	8.0
This film is a great example of fine storytelling. The acting is super	4.6
I had heard good things about this film and was, you guessed it, a bit	2.7
Why is this movie not in the 250 best? This movie looks still astoundi	2.9
S.S. Van Dine must have been a shrewd businessman in dealing with Holl	1.2
I saw this movie again as an assignment for my management class. Were 	10.0
The kids I took to this movie loved it (four children, ages 9 to 12 ye	5.0
Loved it but still have nightmares over the hotel manager.The movie, w	10.0
I saw this movie about a week ago and still keep thinking about it. I 	1.2
As has been well documented by previous posters, the real stars of Roc	10.0
I finally got myself set up on mail order DVD rental so I could find m	7.5
I just saw this film on Turner Classic Movies last night and was blown	10.0
And this is a great rock'n'roll movie in itself. No matter how it evol	10.0
OK, this movie starts out like a cheesy Lifetime movie and doesn't get	9.2
This is really a great unknown movie.Perfect dialogue without the typi	10.0
I used this film in a religion class I was teaching. The golden fish i	10.0
The legend of Andrei Konchalovsky's towering 4 and a half hour poem to	10.0
I, like many die-hard Trekkers (or Trekkies, i don't care!) suffered t	8.8
This is a great story of family loyalty which, thankfully, doesn't res	10.0
Great documentary about the lives of NY firefighters during the worst 	10.0
This movies chronicles the life and times of William Castle. He made a	10.0
I recently rented this doc, having remembered hearing about it from IM	10.0
Netflix should mention this short feature on the info for Silk Stockin	3.3
"Following the brilliant ""Goyôkiba"" (aka. ""Hanzo The Razor - Sword Of J"	10.0
I saw this film at a store in the cheap section. I actually vividly re	10.0
Simply well written, directed and acted... Woody's best of the 2000's 	10.0
I first saw this back in the early 90s on UK TV, i did like it then bu	10.0
At first,this movie seems so bad that i almost fell in a trance the fi	1.0
I got to say that Uma Thurman is the sexiest woman on the planet. this	1.3
During a Kurt Weill celebration in Brooklyn, WHERE DO WE GO FROM HERE?	1.0
Ahh, Talespin! What can I say that hasn't already been said about this	3.4
I love this film 'Spring and port wine'. I was born in Leigh, a town a	10.0
I was all ready to pan this episode, seeing that this 'Master' really 	3.3
I liked this movie because it basically did more with less. It could h	1.6
I was very moved by the story and because I am going through something	4.6
I always have a bit of distrust before watching the British period fil	10.0
In Joel Schumacher, you have one of the most inconsistent film makers 	10.0
This is definitely one of the best kung fu movies ever, and may be one	2.9
A trio of buddies, sergeants all in the British Army, carouse & brawl 	10.0
When it comes to Paul Verhoeven and erotic thrillers, most people thin	1.5
Sergio Martino is a great director, who has contributed a lot to Itali	10.0
Fay Grim is a true example of what I call a completed puzzle film. It 	4.3
Everybody's got bills to pay, and that includes Christopher Walken.<br	1.0
For me,this is one of the best movies i ever saw.Overcoming racism,str	10.0
I have to admit, this movie moved me to the extent that I burst in tea	1.0
The main reason I wanted to see this movie was because of the wonderfu	1.0
i expected something different:more passion,drama...Again another fail	1.0
"The movie ""Holly"" is the story of a young girl who has been sold by he"	1.0
You got to go and dig those holes. Holes only leaves troble, which mak	10.0
An OUR GANG Comedy Short.<br /><br />The Gang coerces Spanky into watc	10.0
i really liked the first 2 seasons. because a lot of good characters d	2.7
A have a female friend who is currently being drawn into a relationshi	4.4
This movie stars Jay Leno as a Detroit cop, Tony Costas and Pat Morita	10.0
I don't see how you can say that Freddy's Nightmares is cheesy and a r	10.0
Initially, I would have thought that Secret Sunshine had something cri	1.0
It's hard to rate films like this, because do you rate it on productio	1.0
A great gangster film.Sam Mendes has directed this beautiful movie sho	10.0
When I first saw this film in the 1980's, I was in my middle teenage y	7.2
I have loved this movie all of my life. It's such an intelligent story	8.6
A lot of the user comments i have seen on the IMDB for this movie don'	1.9
<br /><br />The first thing I have to say is that I own Jake Speed. I'	10.0
The perfect space fantasy film. a group of kids go up accidentally in 	9.7
The movie held my interest, mainly because Dianne Keaton is my favorit	10.0
A young solicitor in sent to a remote area to wrap up the estate of a 	10.0
What's Good About It: Some inventive and genuinely creepy little effec	10.0
Huge, exhaustive and passionate summary of American cinema as seen thr	10.0
Of those comments here before mine, I mostly agree with Edyarb's. The 	3.1
Being a genre film fan, a child of the 80's AND a fan of hard rock mus	10.0
Kalifornia came out in 1993, just as 3 of the 4 lead characters were u	1.9
EARTH is a must see for children and adults. My son had great fun watc	10.0
I was electrified when I first saw this in 1983 or 1984. Steven Biko i	7.0
Arthur Bach needs to grow up, but that is unfortunately not the only t	10.0
"""Holly"" is an issue-driven film, but it is neither manipulative nor ov"	10.0
Coming shortly before the imposition of a morality code darkened the s	6.0
this may not be War & Peace, but the two Academy noms wouldn't have be	10.0
Like A Streetcar Named Desire (also directed by Gadg both on stage and	1.0
"""I moved out here to get away from this kind of thing!"" The small town"	6.0
It's a tale that could have taken place anywhere really, given the rig	10.0
The film is exceptional in it's gay iconography and extends this beyon	8.1
In Iran, women are officially banned from men's sporting events. In Ju	1.3
In this glorious telling of a weekend shared among literary greats. Ma	10.0
Some genre films need to be dressed up. This one was an exception. Tak	3.0
What seemed at first just another introverted French flick offering no	2.0
I know that there are some purists out there who poo poo anything that	10.0
A very high-standard Columbo story which was actually the first filmed	10.0
Uneducated & defiant, beautiful TESS OF THE STORM COUNTRY is the daugh	9.5
Listening to the soundtrack at the moment, the images come back with a	1.0
This movie was very good because it remember when I was young when I m	10.0
I just recently watched this on the Sundance channel. The idea for the	10.0
Well, I'd heard from somewhere that Ossessione is a precursor to the I	10.0
Cypher is a clever, effective and eerie film that delivers. Its good p	1.0
"I took a chance on ""Hardcastle and McCormick"" by purchasing the first "	10.0
"""Homeward Bound: The Incredible Journey"" is one of those wonderful old"	10.0
"For those of you unfamiliar with Jimmy Stewart, this is one of his ""le"	1.0
I saw this movie when I was in Israel for the summer. my Hebrew is not	1.0
'One-Round' Jack Sander is called that because he's a carnival boxer w	10.0
Saw this Saturday night at the Provincetown Film Festival, and it's a 	8.4
'The second beginning' as it's title explains, shows us the beginning 	9.2
How can anyone not love this movie ? I think it's a hilarious spoof of	10.0
I'll tell you a tale of the summer of 1994. A friend and I attended a 	10.0
It's not easy making a movie with 18 different stories in it. Although	10.0
I saw this movie with my dad. I must have been pretty young, around 15	10.0
My Take: Makes use of its familiar plot with fine performances and a f	10.0
"What can I say that hasn't been said about ""The Haunting""? It has ever"	2.5
I saw this gem of a film at Cannes where it was part of the directors 	10.0
"I had the privilege of watching ""Holly"" at the Edinburgh Film Festival"	1.7
Let me set the scene. It is the school holidays and there is absolutel	10.0
Riget II is a good sequel, but not quite as good as the first one. Thi	10.0
Kimi wa petto is a cute story about a girl who one day finds a boy ins	3.4
Is this the future that awaits us? An overpopulated, unforgiving waste	10.0
Brand Hauser (John Cusack) is an assassin for the CIA. He is ordered t	10.0
Goodnight Mister Tom is so beautifully filmed and beautifully realised	10.0
Though not a horror film in the traditional sense, this creepy little 	10.0
I haven't yet read Kurt Vonnegut's Mother Night (though I've read othe	1.5
For real film people, this film is a must, since it works as a perfect	2.1
The Caprica episode (S01E01) is well done as a pilot. Really, this epi	10.0
This documentary makes you travel all around the globe. It contains ra	10.0
Of all Arnold's mid-'80s movies who would have thought that most relev	10.0
Fear of a black hat is a hilarious spoof of Hip-Hop culture. It is jus	5.0
This made-for-TV film is a brilliant one. This is probably the best an	10.0
Carla works for a property developer's where she excels in being unatt	10.0
Adorable! I saw Domestic Import in Philly in October with my kids. We 	10.0
"Four words account for why this film was made - ""She Done Him Wrong"". "	9.7
- After their sons are sentenced to life in prison, Adelle (Debbie Rey	1.0
Walter Matthau and George Burns just work so well together. The acidit	10.0
I drove from Sacramento to San Francisco (and back) to see this movie 	4.4
This is a haunting, powerful Italian adaptation of James M. Cain's nov	10.0
Linking story: another first-time viewing for me and, again, this is o	10.0
I thought this was a quiet good movie. It was fun to watch it. What I 	10.0
I got to see this just this last Friday at the Los Angeles film festiv	10.0
Spoiler for anyone who is lucky enough to ever see this film (so not r	1.0
This is one a most famous movies of the French sexual empowerment of t	1.5
Is this your typical women in chains navy transport love story? Maybe,	10.0
Hitchcock displays his already developed understanding for visuals in 	10.0
In ten words or less to describe this film, Barbara Stanwyck is too ap	10.0
Michael Is King. This film contains some of the best stuff Mike has ev	10.0
A sentimental story with a sentimental sound track. It's about a littl	4.4
I loved the idea of this film from the moment I first saw a trailer fo	10.0
Having not seen the films before (and not being able to stand Matt Dam	3.7
"Director/star Clint Eastwood's ""Sudden Impact"" is an intriguing additi"	10.0
This movie is a ripoff of James Cain's novel, THE POSTMAN ALWAYS RINGS	9.5
I'm grateful to Cesar Montano and his crew in reviving the once-moribu	2.4
This film is stunningly beautiful. Goldsworthy's art really benefits w	7.3
An absolutely brilliant show. The second season began where the first 	10.0
There is no such a thing as perfect murder.Lieutenant Columbo knows th	9.7
I won't claim to be a fan of Ralph Bakshi, because i am not. I have on	1.0
THE HOUSE THAT DRIPPED BLOOD is the third in a series of seven Amicus 	10.0
First of all I saw this movie without knowing anything about it I just	9.4
Frailty is a non-gory horror film that achieves its chills by followin	2.5
Who would've imagined -- Hal Hartley creates a filmic corollary to Syr	10.0
Most folks might say that if one were to spend a Saturday night watchi	1.0
Released in December of 1957, Sayonara went on to earn 8 Oscar nominat	10.0
Faith and Mortality... viewed through the lens of an elderly Ashkenazi	8.9
